00:58.422  render           | Start rendering: Scene, ViewLayer
00:58.422  render           | Engine: EEVEE
00:58.547  render           | Fra: 12 | Rendering 1 / 64 samples
00:58.797  render           | Fra: 12 | Rendering 25 / 64 samples
00:59.156  render           | Fra: 12 | Rendering 50 / 64 samples
00:59.390  render           | Fra: 12 | Rendering 64 / 64 samples
00:59.672  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0012.png'
00:59.672  render           | Time: 00:01.25 (Saving: 00:00.19)
00:59.672  render           | Rendering frame 13
00:59.672  render           | Start rendering: Scene, ViewLayer
00:59.672  render           | Engine: EEVEE
00:59.781  render           | Fra: 13 | Rendering 1 / 64 samples
01:00.047  render           | Fra: 13 | Rendering 25 / 64 samples
01:00.390  render           | Fra: 13 | Rendering 50 / 64 samples
01:00.625  render           | Fra: 13 | Rendering 64 / 64 samples
01:00.875  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0013.png'
01:00.875  render           | Time: 00:01.21 (Saving: 00:00.17)
01:00.875  render           | Rendering frame 14
01:00.875  render           | Start rendering: Scene, ViewLayer
01:00.890  render           | Engine: EEVEE
01:00.984  render           | Fra: 14 | Rendering 1 / 64 samples
01:01.250  render           | Fra: 14 | Rendering 25 / 64 samples
01:01.625  render           | Fra: 14 | Rendering 50 / 64 samples
01:01.859  render           | Fra: 14 | Rendering 64 / 64 samples
01:02.140  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0014.png'
01:02.140  render           | Time: 00:01.25 (Saving: 00:00.18)
01:02.140  render           | Rendering frame 15
01:02.140  render           | Start rendering: Scene, ViewLayer
01:02.140  render           | Engine: EEVEE
01:02.265  render           | Fra: 15 | Rendering 1 / 64 samples
01:02.531  render           | Fra: 15 | Rendering 25 / 64 samples
01:02.890  render           | Fra: 15 | Rendering 50 / 64 samples
01:03.125  render           | Fra: 15 | Rendering 64 / 64 samples
01:03.375  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0015.png'
01:03.390  render           | Time: 00:01.24 (Saving: 00:00.17)
01:03.390  render           | Rendering frame 16
01:03.390  render           | Start rendering: Scene, ViewLayer
01:03.390  render           | Engine: EEVEE
01:03.500  render           | Fra: 16 | Rendering 1 / 64 samples
01:03.765  render           | Fra: 16 | Rendering 25 / 64 samples
01:04.125  render           | Fra: 16 | Rendering 50 / 64 samples
01:04.343  render           | Fra: 16 | Rendering 64 / 64 samples
01:04.609  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0016.png'
01:04.609  render           | Time: 00:01.22 (Saving: 00:00.17)
01:04.609  render           | Rendering frame 17
01:04.609  render           | Start rendering: Scene, ViewLayer
01:04.609  render           | Engine: EEVEE
01:04.734  render           | Fra: 17 | Rendering 1 / 64 samples
01:04.984  render           | Fra: 17 | Rendering 25 / 64 samples
01:05.343  render           | Fra: 17 | Rendering 50 / 64 samples
01:05.562  render           | Fra: 17 | Rendering 64 / 64 samples
01:05.859  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0017.png'
01:05.859  render           | Time: 00:01.25 (Saving: 00:00.19)
01:05.859  render           | Rendering frame 18
01:05.859  render           | Start rendering: Scene, ViewLayer
01:05.859  render           | Engine: EEVEE
